"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-01,108,monthly,194632,317203,255765,200935,187102,2010-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-02,137,monthly,196745,318814,260309,203323,188740,2010-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-03,173,monthly,199933,323950,263975,206018,192814,2010-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-04,117,monthly,202170,326354,266752,207809,195801,2010-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-05,140,monthly,203815,328941,267150,209282,197846,2010-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-06,179,monthly,204238,329354,268381,210415,197102,2010-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-07,155,monthly,207952,336957,273248,214598,200110,2010-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-08,141,monthly,207821,337616,274490,214700,199520,2010-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-09,147,monthly,210674,343777,278469,217524,202428,2010-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-10,129,monthly,208508,340292,275749,214932,200900,2010-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-11,140,monthly,209060,343040,276163,215024,202192,2010-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-12,115,monthly,208056,340858,274767,213818,201506,2010-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-01,108,monthly,208687,340794,275394,214434,202190,2011-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-02,103,monthly,205504,333865,270957,211051,199248,2011-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-03,147,monthly,201980,329676,266038,207196,196164,2011-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-04,114,monthly,200682,327929,264251,205785,195013,2011-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-05,125,monthly,204107,331521,268053,209005,198807,2011-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-06,124,monthly,206952,333180,272300,211837,201682,2011-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-07,145,monthly,207741,332777,272915,212311,202949,2011-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-08,138,monthly,208896,336542,275670,214320,202848,2011-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-09,142,monthly,212026,343394,280316,218169,204972,2011-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-10,127,monthly,212406,346863,282240,218996,204630,2011-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-11,143,monthly,212496,345743,282560,218544,205460,2011-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-12,186,monthly,210485,342657,280238,216024,204107,2011-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-01,175,monthly,213513,347097,284787,219238,206871,2012-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-02,124,monthly,210451,344148,281728,217315,202446,2012-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-03,215,monthly,211701,345728,283644,219219,202920,2012-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-04,82,monthly,209250,341216,279442,216521,200779,2012-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-05,105,monthly,213290,346982,283754,219910,205512,2012-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-06,112,monthly,212423,344588,281716,219188,204547,2012-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-07,131,monthly,216463,351154,287719,224368,207378,2012-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-08,103,monthly,214977,349287,286504,223744,204988,2012-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-09,156,monthly,214194,349592,286510,223178,203935,2012-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-10,178,monthly,211658,345408,283166,220134,201925,2012-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-11,152,monthly,211473,344758,282458,219469,202247,2012-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-12,170,monthly,214504,350546,286025,222320,205459,2012-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-01,136,monthly,216276,354197,289495,224491,206767,2013-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-02,192,monthly,217656,356446,291626,226282,207715,2013-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-03,173,monthly,218740,358505,293292,227299,208830,2013-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-04,139,monthly,220203,361030,294294,228452,210619,2013-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-05,172,monthly,221686,362931,296065,229584,212441,2013-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-06,188,monthly,224762,365927,300244,233371,214826,2013-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-07,216,monthly,224133,363760,298966,233059,213925,2013-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-08,194,monthly,224817,365210,300224,234271,214080,2013-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-09,239,monthly,224015,365851,299242,233238,213486,2013-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-10,205,monthly,223556,366755,299149,232656,213113,2013-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-11,266,monthly,228005,375706,305228,236861,217743,2013-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-12,266,monthly,229561,377466,307539,238399,219299,2013-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-01,237,monthly,234334,386587,314380,243498,223694,2014-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-02,218,monthly,234169,388264,314901,243836,223045,2014-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-03,264,monthly,234548,390610,316042,244287,223316,2014-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-04,211,monthly,242493,402254,326851,252971,230551,2014-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-05,241,monthly,249075,410816,334960,259765,236905,2014-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-06,319,monthly,257977,425518,347004,269371,245105,2014-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-07,250,monthly,263542,435309,354831,275542,250085,2014-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-08,287,monthly,270521,448365,365193,283611,256037,2014-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-09,263,monthly,276292,458052,373091,290107,261132,2014-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-10,283,monthly,278469,463293,376368,291964,263520,2014-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-11,227,monthly,279108,465841,377357,292148,264506,2014-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-12,245,monthly,279219,466772,377569,291777,265003,2014-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-01,198,monthly,278132,463687,376375,290545,264051,2015-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-02,211,monthly,279870,462662,377713,291451,266454,2015-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-03,217,monthly,282742,466333,381506,293747,269726,2015-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-04,185,monthly,287539,475811,387664,298969,274124,2015-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-05,228,monthly,291590,484538,393936,303605,277632,2015-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-06,374,monthly,293256,489900,397572,306990,277932,2015-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-07,268,monthly,297453,495299,403462,311491,281830,2015-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-08,240,monthly,301504,502968,409529,316708,284918,2015-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-09,283,monthly,308543,515210,418230,323630,291940,2015-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-10,307,monthly,313025,526108,424376,328652,295925,2015-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-11,273,monthly,317550,534652,430589,333261,300302,2015-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-12,298,monthly,319493,538018,433695,335261,302155,2015-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-01,252,monthly,325990,547358,443937,341884,308414,2016-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-02,238,monthly,329609,554544,450311,345934,311605,2016-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-03,479,monthly,336144,565988,459563,352790,317775,2016-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-04,132,monthly,337626,569902,460416,354230,319287,2016-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-05,141,monthly,343814,575925,465347,359443,326211,2016-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-06,148,monthly,351368,588562,474546,367158,333541,2016-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-07,219,monthly,355960,593951,480795,372194,337733,2016-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-08,218,monthly,359410,602575,486075,376068,340775,2016-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-09,142,monthly,362358,607249,490757,378771,343838,2016-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-10,373,monthly,359280,603432,485824,374011,342094,2016-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-11,309,monthly,360642,607996,487960,374244,344273,2016-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-12,305,monthly,353282,596980,477082,365565,338054,2016-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-01,214,monthly,355298,601822,479446,367265,340282,2017-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-02,280,monthly,359315,607171,483127,370478,344940,2017-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-03,388,monthly,364544,615793,489421,374746,350869,2017-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-04,358,monthly,365240,615441,489134,374933,352009,2017-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-05,359,monthly,365854,614874,490452,375122,352948,2017-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-06,456,monthly,362237,604815,484460,371574,349392,2017-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-07,369,monthly,363805,606893,487418,373314,350774,2017-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-08,290,monthly,361141,601133,483683,371719,347305,2017-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-09,219,monthly,369229,616543,495475,380505,354672,2017-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-10,243,monthly,368084,616955,495471,379800,353131,2017-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-11,260,monthly,361402,608494,487910,373080,346518,2017-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-12,285,monthly,349429,589828,472544,361424,334447,2017-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-01,266,monthly,343800,579448,464619,355328,329291,2018-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-02,390,monthly,347618,586324,468478,358534,333296,2018-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-03,248,monthly,352992,597365,477156,364475,338669,2018-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-04,265,monthly,360618,613362,489261,374565,345304,2018-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-05,261,monthly,363096,622929,498210,381039,346450,2018-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-06,274,monthly,366703,631091,505142,385854,349560,2018-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-07,189,monthly,368343,636197,509009,388689,350777,2018-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-08,218,monthly,365932,629400,504002,385397,348724,2018-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-09,271,monthly,366285,630363,505268,386180,348931,2018-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-10,244,monthly,362002,621732,498137,380234,345283,2018-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-11,282,monthly,357621,621350,495871,377640,340466,2018-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-12,267,monthly,355100,618965,492545,375365,337947,2018-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-01,184,monthly,358029,626767,498358,379218,340487,2019-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-02,150,monthly,363433,630843,502943,381985,346714,2019-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-03,146,monthly,366830,635738,509049,385772,349767,2019-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-04,151,monthly,366811,635621,508885,386235,349523,2019-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-05,181,monthly,368293,639312,512411,389906,349895,2019-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-06,217,monthly,359549,624831,501145,381815,341020,2019-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-07,222,monthly,359608,622444,500172,381408,341329,2019-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-08,175,monthly,362277,626148,506486,386263,342871,2019-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-09,178,monthly,368978,634636,512915,392595,349664,2019-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-10,181,monthly,369186,636019,516580,394117,349172,2019-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-11,195,monthly,363378,630029,509511,387778,343710,2019-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-12,146,monthly,361100,632988,510990,387593,340395,2019-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-01,132,monthly,366942,644544,518325,393513,346081,2020-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-02,116,monthly,374168,659956,530113,402141,352347,2020-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-03,129,monthly,375102,658331,530599,402323,353585,2020-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-04,60,monthly,369238,648024,523640,397519,347284,2020-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-05,66,monthly,373250,652769,526677,399467,352297,2020-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-06,84,monthly,376190,660673,532863,404169,354251,2020-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-07,101,monthly,380439,665841,538773,408683,358289,2020-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-08,107,monthly,379795,664507,538863,410138,356593,2020-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-09,114,monthly,377078,659202,534252,407093,354114,2020-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-10,,monthly,384339,676038,545459,415850,360442,2020-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-11,,monthly,399671,702299,566706,433470,374329,2020-11-01
